2026-09-24T18:04:21Z INFO Logging to /tmp/logs/update_2026-09-24T18-04-21Z.log.
2026-09-24T18:04:21Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-24T18:04:22Z INFO Processing 360 items (56167 already recorded).
2026-09-24T18:49:59Z INFO [131/360] 138a0511-ca60-4883-9f81-128f0f66e6b9: 116 chunks; 0.8 s; peak memory 1160 MiB.
2026-09-24T18:49:59Z INFO [132/360] 138bb282-550e-49db-8287-988ed7f12063: 48 chunks; 0.7 s; peak memory 1160 MiB.
2026-09-24T18:50:00Z INFO [133/360] 138c1012-a87c-43ca-9cb7-682abe03cbd3: 48 chunks; 0.6 s; peak memory 1160 MiB.
2026-09-24T18:50:01Z INFO [134/360] 138c4cd1-fa13-450d-ad10-1f11cb0d032f: 112 chunks; 0.8 s; peak memory 1160 MiB.
2026-09-24T18:50:02Z INFO [135/360] 138c992d-aa90-4902-8a3b-d0d3d804addb: 36 chunks; 0.7 s; peak memory 1160 MiB.
2026-09-24T18:50:09Z INFO [136/360] 138ccd44-45ad-4a65-a5fb-5d22374d28d8: 4531 chunks; 7.6 s; peak memory 1160 MiB.
2026-09-24T18:50:10Z INFO [137/360] 138d9746-4108-490a-87d7-427f0a4f6482: 46 chunks; 0.4 s; peak memory 1160 MiB.
2026-09-24T18:50:14Z INFO [138/360] 138e8d31-0c71-4193-8d4f-5b434595550d: 4151 chunks; 4.7 s; peak memory 1160 MiB.
2026-09-24T18:50:15Z INFO [139/360] 138eead7-ee04-46a8-a2b6-ef609525e082: 117 chunks; 0.6 s; peak memory 1160 MiB.
2026-09-24T18:50:16Z INFO [140/360] 138eee0c-7dce-4d73-a767-dbeeed833b45: 112 chunks; 1.0 s; peak memory 1160 MiB.
2026-09-24T18:50:17Z INFO [141/360] 138f92c5-1295-4206-ab63-57818290a7c5: 48 chunks; 0.7 s; peak memory 1160 MiB.
2026-09-24T18:50:17Z INFO [142/360] 138fbe5e-ca96-4dc8-9a69-f6703970c626: 48 chunks; 0.7 s; peak memory 1160 MiB.
2026-09-24T18:50:18Z INFO [143/360] 13913522-0247-4984-b600-a4f44b1db01a: 117 chunks; 0.7 s; peak memory 1160 MiB.
2026-09-24T18:50:21Z INFO [144/360] 139160a5-0c9c-450f-9291-6befc980445d: 574 chunks; 2.9 s; peak memory 1160 MiB.
2026-09-24T18:50:24Z INFO [145/360] 1391bc01-1026-4af2-9f75-56eaceb42cd4: 2923 chunks; 3.4 s; peak memory 1160 MiB.
2026-09-24T18:50:25Z INFO [146/360] 13921a4c-f322-4346-a09f-1a197740e8fd: 112 chunks; 0.8 s; peak memory 1160 MiB.
2026-09-24T18:50:31Z INFO [147/360] 13924934-96d0-45c8-8506-93462fddd916: 4210 chunks; 5.8 s; peak memory 1160 MiB.
2026-09-24T18:50:32Z INFO [148/360] 1392585c-6a55-4ff7-a916-3cd89679a142: 122 chunks; 0.5 s; peak memory 1160 MiB.
2026-09-24T18:50:32Z INFO [149/360] 1392afff-68e4-4ebe-bb83-56d2914a34b4: 46 chunks; 0.6 s; peak memory 1160 MiB.
2026-09-24T18:50:33Z INFO [150/360] 1392cdbd-a4f7-4add-a7b0-fb150cc0b713: 41 chunks; 0.5 s; peak memory 1160 MiB.
2026-09-24T18:50:33Z INFO [150/360] 1392cdbd-a4f7-4add-a7b0-fb150cc0b713: checkpointed 56317 records.
2026-09-24T18:50:34Z INFO [151/360] 1393cec1-7e9c-4053-9896-326bfc8c3c98: 110 chunks; 0.8 s; peak memory 1160 MiB.
2026-09-24T18:50:36Z INFO [152/360] 1393ee7f-6004-485a-b7e4-0338354c492a: 1924 chunks; 2.2 s; peak memory 1160 MiB.
2026-09-24T18:50:37Z INFO [153/360] 1393f3b7-2f6b-4191-926f-58d8a5511a30: 261 chunks; 0.9 s; peak memory 1160 MiB.
2026-09-24T18:50:38Z INFO [154/360] 13941732-6226-4349-82a1-1c5006894eb8: 156 chunks; 1.7 s; peak memory 1160 MiB.
2026-09-24T18:50:39Z INFO [155/360] 13944c30-13f8-4a34-88ba-2bb1bde6690b: 78 chunks; 0.9 s; peak memory 1160 MiB.
2026-09-24T18:50:40Z INFO [156/360] 139588ac-063e-458b-843d-838d7cbd909c: 92 chunks; 0.8 s; peak memory 1160 MiB.
2026-09-24T18:50:41Z INFO [157/360] 1395d302-3e94-4a35-960e-b1793586b9e3: 52 chunks; 0.8 s; peak memory 1160 MiB.
2026-09-24T18:50:48Z INFO [158/360] 139607a1-a253-41c0-ba6f-1874a187baf5: 12655 chunks; 7.1 s; peak memory 1160 MiB.
2026-09-24T18:50:49Z INFO [159/360] 13963262-82ea-4510-ae5c-70c6e41932a9: 51 chunks; 0.9 s; peak memory 1160 MiB.
2026-09-24T18:50:50Z INFO [160/360] 1396c4a7-fdf3-4a6d-a354-20a8a33385d4: 76 chunks; 0.8 s; peak memory 1160 MiB.
2026-09-24T18:50:51Z INFO [161/360] 1397711f-0fd0-4059-ae02-92c31fed6ec3: 117 chunks; 0.9 s; peak memory 1160 MiB.
2026-09-24T18:50:53Z INFO [162/360] 1397990f-bdb7-4264-82cd-4c22bb7b6d83: 115 chunks; 2.1 s; peak memory 1160 MiB.
2026-09-24T18:50:53Z INFO [163/360] 1397fbb9-5a68-4b5f-8765-844d74869100: 46 chunks; 0.4 s; peak memory 1160 MiB.
2026-09-24T18:50:54Z INFO [164/360] 139829e7-c4f2-4f77-95a2-660c252f881a: 48 chunks; 0.7 s; peak memory 1160 MiB.
2026-09-24T18:51:02Z INFO [165/360] 1398c3bc-d106-4a02-a76e-6f67aaf5e7cc: 24403 chunks; 8.2 s; peak memory 1160 MiB.
2026-09-24T18:51:03Z INFO [166/360] 13997214-00f0-4d19-b13d-b81699d6e0ef: 62 chunks; 1.0 s; peak memory 1160 MiB.
2026-09-24T18:51:04Z INFO [167/360] 139a0762-4629-482a-b92c-c33e639285a5: 115 chunks; 0.6 s; peak memory 1160 MiB.
2026-09-24T18:51:04Z INFO [168/360] 139a7d40-f3fc-4f2f-968f-bc7e678fe29c: 46 chunks; 0.6 s; peak memory 1160 MiB.
2026-09-24T18:51:05Z INFO [169/360] 139ab1e7-1837-4f0e-b382-0fdfd3ae1548: 48 chunks; 0.7 s; peak memory 1160 MiB.
2026-09-24T18:51:06Z INFO [170/360] 139bb4eb-cba7-49f9-a770-d944d6bca0b3: 71 chunks; 1.3 s; peak memory 1160 MiB.
2026-09-24T18:51:07Z INFO [171/360] 139bc754-b6b2-420d-acb5-dfb276df93c4: 76 chunks; 1.1 s; peak memory 1160 MiB.
2026-09-24T18:51:08Z INFO [172/360] 139c51f4-9e7f-4a44-886b-391dd797e49e: 33 chunks; 0.5 s; peak memory 1160 MiB.
2026-09-24T18:51:09Z INFO [173/360] 139d9d5f-c6e9-4564-b261-037fbe48e0b7: 92 chunks; 0.8 s; peak memory 1160 MiB.
2026-09-24T18:51:11Z INFO [174/360] 139dfba3-3d01-489a-b1e6-e4f4eb541e66: 262 chunks; 2.6 s; peak memory 1160 MiB.
