2026-09-25T22:58:07Z INFO Logging to /tmp/logs/update_2026-09-25T22-58-07Z.log.
2026-09-25T22:58:07Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-25T22:58:07Z INFO Processing 364 items (57656 already recorded).
2026-09-25T23:01:32Z INFO [83/364] 16898dcf-7d59-4973-9ab5-cf64596297cf: 64 chunks; 0.6 s; peak memory 408 MiB.
2026-09-25T23:03:00Z INFO [84/364] 1689a548-4d0c-402d-ac1c-116e0ef07a8a: 38215 chunks; 88.6 s; peak memory 408 MiB.
2026-09-25T23:03:01Z INFO [85/364] 1689d891-2d2b-4ec5-b23d-6e03437048fb: 112 chunks; 0.7 s; peak memory 408 MiB.
2026-09-25T23:03:02Z INFO [86/364] 168aa2c9-b236-4faf-9805-523b3195b934: 117 chunks; 0.8 s; peak memory 408 MiB.
2026-09-25T23:03:03Z INFO [87/364] 168ae5de-2425-42c6-837b-cd07301f0a9e: 112 chunks; 0.8 s; peak memory 408 MiB.
2026-09-25T23:06:05Z INFO [88/364] 168beec7-8831-4526-8377-263b285d4fcf: 75423 chunks; 182.2 s; peak memory 471 MiB.
2026-09-25T23:06:07Z INFO [89/364] 168d258f-9a4a-4a55-9960-c1d4baef310e: 115 chunks; 1.9 s; peak memory 471 MiB.
2026-09-25T23:06:08Z INFO [90/364] 168d9c77-2002-48dd-9b65-e4dfb3a06500: 118 chunks; 0.8 s; peak memory 471 MiB.
2026-09-25T23:06:08Z INFO [91/364] 168e207a-1f72-449f-930a-f74c370978f0: 112 chunks; 0.7 s; peak memory 471 MiB.
2026-09-25T23:06:09Z INFO [92/364] 168e8638-ed45-4a7e-8ed1-c06f5e47f2d5: 48 chunks; 0.7 s; peak memory 471 MiB.
2026-09-25T23:06:10Z INFO [93/364] 168e9395-f49d-4206-aea8-ab044f1bcc81: 48 chunks; 0.6 s; peak memory 471 MiB.
2026-09-25T23:06:11Z INFO [94/364] 168f2ff0-7d6f-441e-8631-eeb1ee90b43d: 155 chunks; 1.0 s; peak memory 471 MiB.
2026-09-25T23:06:42Z INFO [95/364] 16912c78-c7dd-40ce-b135-b5dbadced021: 10276 chunks; 31.0 s; peak memory 471 MiB.
2026-09-25T23:06:42Z INFO [96/364] 169201ed-5d1f-4719-9ec5-56024c1bafea: 48 chunks; 0.6 s; peak memory 471 MiB.
2026-09-25T23:06:58Z INFO [97/364] 1692cda1-57c6-4fef-8b7d-8aef7f0ba431: 6039 chunks; 15.5 s; peak memory 471 MiB.
2026-09-25T23:10:16Z INFO [98/364] 16932f8e-827f-4eb3-b735-17b3bad6efae: 91833 chunks; 198.5 s; peak memory 499 MiB.
2026-09-25T23:10:17Z INFO [99/364] 16933fec-c09b-437e-a1cc-d8c38c8608b7: 50 chunks; 0.7 s; peak memory 499 MiB.
2026-09-25T23:10:20Z INFO [100/364] 1693b920-f7ec-4d09-98fe-251f70590c24: 612 chunks; 3.2 s; peak memory 499 MiB.
2026-09-25T23:10:20Z INFO [100/364] 1693b920-f7ec-4d09-98fe-251f70590c24: checkpointed 57756 records.
2026-09-25T23:10:24Z INFO [101/364] 1693fe1d-1672-4fb7-8eaa-645c4ae37885: 678 chunks; 4.0 s; peak memory 499 MiB.
2026-09-25T23:14:56Z INFO [102/364] 1694aaf4-4ba3-473a-8672-af9bb263b9a7: 66733 chunks; 271.5 s; peak memory 553 MiB.
2026-09-25T23:14:57Z INFO [103/364] 16963cae-7c64-462a-9481-a8cee0695239: 48 chunks; 0.9 s; peak memory 553 MiB.
