2026-09-22T22:32:42Z INFO Logging to /tmp/logs/update_2026-09-22T22-32-42Z.log.
2026-09-22T22:32:42Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-22T22:32:43Z INFO Processing 351 items (54324 already recorded).
2026-09-22T22:36:01Z INFO [47/351] 0f97172c-1eb3-4786-bd79-cd116fc50b9c: 69 chunks; 0.7 s; peak memory 298 MiB.
2026-09-22T22:36:02Z INFO [48/351] 0f971eed-df4a-403c-9485-8276a8a8c9e2: 48 chunks; 1.1 s; peak memory 298 MiB.
2026-09-22T22:36:03Z INFO [49/351] 0f98b70f-19a6-4065-b6e7-9d2b8ac24a7a: 48 chunks; 1.0 s; peak memory 298 MiB.
2026-09-22T22:36:04Z INFO [50/351] 0f9a7f32-a826-4b1a-8b8b-bbc24f5d7510: 110 chunks; 1.1 s; peak memory 298 MiB.
2026-09-22T22:36:04Z INFO [50/351] 0f9a7f32-a826-4b1a-8b8b-bbc24f5d7510: checkpointed 54374 records.
2026-09-22T22:36:07Z INFO [51/351] 0f9ad7d5-fd93-4860-9527-8a360beb782b: 85 chunks; 2.8 s; peak memory 298 MiB.
2026-09-22T22:36:09Z INFO [52/351] 0f9bc6b8-e1e7-47bd-8ad4-eb0989a73bb9: 51 chunks; 1.4 s; peak memory 298 MiB.
2026-09-22T22:36:10Z INFO [53/351] 0f9c6a6c-667f-4cf5-ae2b-4e482177ccdf: 117 chunks; 1.1 s; peak memory 299 MiB.
2026-09-22T22:36:48Z INFO [54/351] 0f9cce5f-8abd-456d-8faf-6f6e88d9857b: 21298 chunks; 38.0 s; peak memory 299 MiB.
2026-09-22T22:36:49Z INFO [55/351] 0f9d62fa-e367-416b-932e-375cf2cf9f89: 112 chunks; 1.3 s; peak memory 299 MiB.
2026-09-22T22:37:22Z INFO [56/351] 0f9dab8b-4332-4583-8c68-e2fd995defb9: 16441 chunks; 33.0 s; peak memory 300 MiB.
2026-09-22T22:37:28Z INFO [57/351] 0f9e709c-ed25-4c8e-8484-6dee38023d6c: 1155 chunks; 6.1 s; peak memory 300 MiB.
2026-09-22T22:37:31Z INFO [58/351] 0f9ec06f-b250-4296-b6ef-79658ff7b80b: 333 chunks; 2.5 s; peak memory 300 MiB.
2026-09-22T22:37:32Z INFO [59/351] 0fa03e15-484a-48a7-9ad5-c93549c09dea: 45 chunks; 1.2 s; peak memory 300 MiB.
2026-09-22T22:37:33Z INFO [60/351] 0fa07eba-d43e-4780-84db-157b88390911: 74 chunks; 1.3 s; peak memory 300 MiB.
2026-09-22T22:37:46Z INFO [61/351] 0fa0b589-791c-4961-b8e6-cb9d9f2438ee: 8229 chunks; 12.9 s; peak memory 300 MiB.
2026-09-22T22:37:47Z INFO [62/351] 0fa1950a-38a8-4ba2-896a-6ab865839219: 112 chunks; 1.2 s; peak memory 300 MiB.
2026-09-22T22:37:49Z INFO [63/351] 0fa19be9-74f5-4b56-8dd5-d2391d1ebea7: 112 chunks; 1.5 s; peak memory 300 MiB.
2026-09-22T22:37:54Z INFO [64/351] 0fa1a4ce-aa0c-44ea-884c-f0f0daafc419: 7931 chunks; 4.9 s; peak memory 300 MiB.
2026-09-22T22:37:55Z INFO [65/351] 0fa2065a-6660-4812-8f06-ca8815165bfa: 118 chunks; 1.3 s; peak memory 300 MiB.
2026-09-22T22:37:57Z INFO [66/351] 0fa24deb-e9e1-4463-817c-12ee3960d43f: 115 chunks; 2.3 s; peak memory 300 MiB.
