2026-09-21T20:43:17Z INFO Logging to /tmp/logs/update_2026-09-21T20-43-17Z.log.
2026-09-21T20:43:17Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-21T20:43:17Z INFO Processing 356 items (52864 already recorded).
2026-09-21T20:51:10Z INFO [116/356] 0cbefd5a-2284-4167-b2cd-bfd7aa5066a7: 112 chunks; 2.2 s; peak memory 253 MiB.
2026-09-21T20:51:12Z INFO [117/356] 0cbf0247-8612-47d2-b9e1-ab0d7b03361e: 117 chunks; 1.7 s; peak memory 253 MiB.
2026-09-21T20:51:13Z INFO [118/356] 0cbf33c8-0d31-4587-aa4d-6adc96eefc82: 46 chunks; 1.3 s; peak memory 253 MiB.
2026-09-21T20:51:16Z INFO [119/356] 0cbfe541-294f-42e4-b142-b41b61d90ed8: 71 chunks; 2.4 s; peak memory 253 MiB.
2026-09-21T20:51:20Z INFO [120/356] 0cc0b6b8-856b-4f8b-aa67-71f7f3e3a109: 272 chunks; 4.2 s; peak memory 253 MiB.
2026-09-21T20:51:22Z INFO [121/356] 0cc0bc15-41f5-4fcf-aa44-ed1330bed371: 84 chunks; 1.4 s; peak memory 253 MiB.
2026-09-21T20:51:23Z INFO [122/356] 0cc1beb6-692b-499a-83c7-906fccfbbfe1: 116 chunks; 1.5 s; peak memory 253 MiB.
2026-09-21T20:51:25Z INFO [123/356] 0cc203e6-6a52-4adf-9169-437802d79c52: 117 chunks; 1.6 s; peak memory 253 MiB.
2026-09-21T20:51:26Z INFO [124/356] 0cc2fd16-bfe7-4050-8a6c-77ca8a1590e3: 78 chunks; 1.7 s; peak memory 253 MiB.
2026-09-21T20:51:28Z INFO [125/356] 0cc395a0-3461-41ee-877e-8450c51b2ba1: 51 chunks; 1.5 s; peak memory 253 MiB.
2026-09-21T20:51:30Z INFO [126/356] 0cc3b4c0-2cd8-4a0b-a4fe-61f11e97a7ba: 59 chunks; 1.6 s; peak memory 253 MiB.
2026-09-21T20:51:31Z INFO [127/356] 0cc3be3a-bdbb-44e4-b407-50732a634a4f: 118 chunks; 1.7 s; peak memory 253 MiB.
2026-09-21T20:51:33Z INFO [128/356] 0cc46824-e998-453f-8cba-02864eab0cf0: 95 chunks; 2.0 s; peak memory 253 MiB.
2026-09-21T21:00:24Z INFO [129/356] 0cc5c820-2972-4c4e-89d7-8cd7ce5ad162: 710632 chunks; 530.8 s; peak memory 1157 MiB.
2026-09-21T21:00:37Z INFO [130/356] 0cc63ef1-296d-41d0-8edf-a2e051d4c83c: 21287 chunks; 13.2 s; peak memory 1157 MiB.
2026-09-21T21:00:54Z INFO [131/356] 0cc6bc1e-15bb-4aad-9b15-54aa58e4ad06: 8229 chunks; 16.6 s; peak memory 1157 MiB.
2026-09-21T21:00:55Z INFO [132/356] 0cc6c406-fd42-4177-ab33-42b5d39a5c7a: 35 chunks; 1.0 s; peak memory 1157 MiB.
2026-09-21T21:00:57Z INFO [133/356] 0cc8a28c-60cb-41dc-8403-0849bb3b6db7: 110 chunks; 2.0 s; peak memory 1157 MiB.
2026-09-21T21:00:58Z INFO [134/356] 0cc9db5e-e6fb-4cb9-8b8d-d8c28720f148: 48 chunks; 1.3 s; peak memory 1157 MiB.
2026-09-21T21:00:59Z INFO [135/356] 0cca56eb-69cc-40e5-ae3c-11b6007516f7: 48 chunks; 1.2 s; peak memory 1157 MiB.
2026-09-21T21:01:20Z INFO [136/356] 0ccae657-a46d-4148-9d86-de67833e1ef3: 6592 chunks; 21.0 s; peak memory 1157 MiB.
2026-09-21T21:01:22Z INFO [137/356] 0ccb5a58-6abd-4681-b37b-f338b5a99279: 69 chunks; 1.3 s; peak memory 1157 MiB.
2026-09-21T21:01:23Z INFO [138/356] 0ccd16e3-ef1a-4015-804a-0db8ff95f1ef: 116 chunks; 1.7 s; peak memory 1157 MiB.
2026-09-21T21:01:25Z INFO [139/356] 0ccd3b5c-5f4a-4a10-970c-d4bd90c6e846: 116 chunks; 1.7 s; peak memory 1157 MiB.
2026-09-21T21:01:27Z INFO [140/356] 0ccd9b2e-9aa3-46d5-8f99-aa5ce0bda872: 117 chunks; 1.7 s; peak memory 1157 MiB.
2026-09-21T21:01:29Z INFO [141/356] 0ccdfb58-7a56-4c9b-a45b-e222b9f0777f: 110 chunks; 2.1 s; peak memory 1157 MiB.
2026-09-21T21:01:31Z INFO [142/356] 0ccdfc04-0040-412f-bd16-f7bb478b4f56: 112 chunks; 2.1 s; peak memory 1157 MiB.
2026-09-21T21:01:32Z INFO [143/356] 0cce0da8-a454-4ff7-8670-01104465a18f: 33 chunks; 1.5 s; peak memory 1157 MiB.
2026-09-21T21:01:34Z INFO [144/356] 0cce202c-411a-413d-bd5c-e4b4d4b4839d: 48 chunks; 1.4 s; peak memory 1157 MiB.
2026-09-21T21:01:35Z INFO [145/356] 0cce4594-6f28-4b71-853b-761bf761b198: 46 chunks; 1.1 s; peak memory 1157 MiB.
2026-09-21T21:01:41Z INFO [146/356] 0ccfeb40-4d35-4283-9f37-d80020df3176: 676 chunks; 6.0 s; peak memory 1157 MiB.
2026-09-21T21:01:42Z INFO [147/356] 0cd0935b-eb4a-4056-b772-8e7be884e767: 48 chunks; 1.4 s; peak memory 1157 MiB.
2026-09-21T21:01:44Z INFO [148/356] 0cd0c344-306e-4238-8896-fcad7a40bd63: 66 chunks; 1.9 s; peak memory 1157 MiB.
2026-09-21T21:01:45Z INFO [149/356] 0cd137a3-ca08-4267-81aa-96b3236acf3d: 48 chunks; 1.2 s; peak memory 1157 MiB.
2026-09-21T21:01:47Z INFO [150/356] 0cd14c4d-260f-4399-b6b5-d8101522d075: 48 chunks; 1.3 s; peak memory 1157 MiB.
2026-09-21T21:01:47Z INFO [150/356] 0cd14c4d-260f-4399-b6b5-d8101522d075: checkpointed 53014 records.
2026-09-21T21:01:54Z INFO [151/356] 0cd16cc3-ac83-461b-a110-2655c05fcbae: 1178 chunks; 7.7 s; peak memory 1157 MiB.
2026-09-21T21:01:56Z INFO [152/356] 0cd1f00c-1924-4118-91cc-d956d9da5f16: 116 chunks; 1.7 s; peak memory 1157 MiB.
2026-09-21T21:01:57Z INFO [153/356] 0cd21d3e-1591-49e2-807c-a79b370307a9: 48 chunks; 1.3 s; peak memory 1157 MiB.
2026-09-21T21:01:59Z INFO [154/356] 0cd3c0b7-befa-4a16-b24e-86adf64299f2: 110 chunks; 2.1 s; peak memory 1157 MiB.
2026-09-21T21:02:01Z INFO [155/356] 0cd5c7aa-37e4-4d41-a510-5b1c7cc8fabc: 117 chunks; 1.8 s; peak memory 1157 MiB.
2026-09-21T21:02:03Z INFO [156/356] 0cd5e642-4064-4829-a62c-afeb4a4be98e: 112 chunks; 1.9 s; peak memory 1157 MiB.
2026-09-21T21:02:05Z INFO [157/356] 0cd7d428-1b53-483f-b066-3439c2585bd9: 48 chunks; 1.4 s; peak memory 1157 MiB.
2026-09-21T21:02:06Z INFO [158/356] 0cd8d370-a436-47b5-9e50-4b518c1a234d: 117 chunks; 1.9 s; peak memory 1157 MiB.
2026-09-21T21:02:20Z INFO [159/356] 0cd9dcc9-0508-4bfe-a217-7e0946f17926: 271 chunks; 13.2 s; peak memory 1157 MiB.
2026-09-21T21:02:22Z INFO [160/356] 0cda32c1-f8bd-43a5-8343-91acaf903acc: 112 chunks; 2.0 s; peak memory 1157 MiB.
2026-09-21T21:02:28Z INFO [161/356] 0cdb59f5-5c0f-4cb8-a2b9-85029f87379a: 2923 chunks; 6.8 s; peak memory 1157 MiB.
2026-09-21T21:02:30Z INFO [162/356] 0cdb73c9-3b3b-4654-b34c-1217879b0484: 48 chunks; 1.4 s; peak memory 1157 MiB.
2026-09-21T21:02:31Z INFO [163/356] 0cdbcd84-424e-4a1b-88a3-8ab4daffdf46: 48 chunks; 1.5 s; peak memory 1157 MiB.
2026-09-21T21:02:33Z INFO [164/356] 0cdc095b-03bc-4cf4-9a4c-a1cec815b236: 48 chunks; 1.3 s; peak memory 1157 MiB.
2026-09-21T21:02:34Z INFO [165/356] 0cdc1bd3-fdc9-4e45-ae5e-c89b9d1d5bae: 33 chunks; 1.0 s; peak memory 1157 MiB.
2026-09-21T21:02:35Z INFO [166/356] 0cdcb4a2-8039-4e15-84b4-ef80b03d3e22: 46 chunks; 1.2 s; peak memory 1157 MiB.
2026-09-21T21:02:36Z INFO [167/356] 0cdccbd7-7593-413c-a011-abfa7c5ea3f2: 46 chunks; 1.5 s; peak memory 1157 MiB.
2026-09-21T21:02:38Z INFO [168/356] 0cdcdff2-c8cc-495b-a8f0-00245357af75: 117 chunks; 1.8 s; peak memory 1157 MiB.
2026-09-21T21:02:39Z INFO [169/356] 0cdd32e2-b4fa-4dc9-842e-cf9a8111d4e0: 47 chunks; 1.2 s; peak memory 1157 MiB.
