2026-09-17T12:53:54Z INFO Logging to /tmp/logs/update_2026-09-17T12-53-54Z.log.
2026-09-17T12:53:54Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-17T12:53:55Z INFO Processing 385 items (48028 already recorded).
2026-09-17T12:59:36Z INFO [90/385] 027b10c9-78fd-4aa7-ab67-81482fe1c215: 208 chunks; 6.3 s; peak memory 318 MiB.
2026-09-17T12:59:38Z INFO [91/385] 027d699e-242e-4213-b29f-f1ef09dd2f58: 71 chunks; 2.2 s; peak memory 318 MiB.
2026-09-17T12:59:44Z INFO [92/385] 027dce51-df65-498c-9e04-3f842e8c4418: 611 chunks; 6.2 s; peak memory 318 MiB.
2026-09-17T12:59:46Z INFO [93/385] 027f323e-e5aa-4fc9-8325-1a0801c471a7: 117 chunks; 1.5 s; peak memory 318 MiB.
2026-09-17T12:59:47Z INFO [94/385] 02806552-1931-4326-9b41-78b57b043661: 48 chunks; 1.2 s; peak memory 318 MiB.
2026-09-17T12:59:48Z INFO [95/385] 028065d0-64d8-4609-99ec-92b978434b87: 117 chunks; 1.3 s; peak memory 318 MiB.
2026-09-17T12:59:49Z INFO [96/385] 02815e50-4d08-47c5-b2dc-c962bef41956: 48 chunks; 1.1 s; peak memory 318 MiB.
2026-09-17T12:59:50Z INFO [97/385] 0281843e-d70d-48fa-9fd4-31d528791927: 46 chunks; 0.9 s; peak memory 318 MiB.
2026-09-17T12:59:52Z INFO [98/385] 02822f47-95be-4b3a-aac2-e1f86eccb6d0: 48 chunks; 1.2 s; peak memory 318 MiB.
2026-09-17T12:59:53Z INFO [99/385] 02824bdd-446c-4ed9-bd3c-a3a17c926ca0: 50 chunks; 1.1 s; peak memory 318 MiB.
2026-09-17T12:59:54Z INFO [100/385] 02829433-4773-404a-9d2e-32d2e45cd77a: 117 chunks; 1.5 s; peak memory 318 MiB.
2026-09-17T12:59:54Z INFO [100/385] 02829433-4773-404a-9d2e-32d2e45cd77a: checkpointed 48128 records.
2026-09-17T12:59:56Z INFO [101/385] 0282fe98-1eac-49c8-9808-33f9c1aaa00a: 48 chunks; 1.2 s; peak memory 318 MiB.
2026-09-17T12:59:58Z INFO [102/385] 02831699-8efa-41a9-aca7-4a7bfcf664cf: 141 chunks; 2.6 s; peak memory 318 MiB.
2026-09-17T13:14:26Z INFO [103/385] 0284795a-a1ff-4230-b9ef-4158c57218a8: 247359 chunks; 867.9 s; peak memory 1146 MiB.
2026-09-17T13:14:28Z INFO [104/385] 0284c48e-b45e-403f-ab03-707ed04d6195: 153 chunks; 1.7 s; peak memory 1146 MiB.
2026-09-17T13:14:29Z INFO [105/385] 0285844c-4b1b-450f-af5a-d6417ba1cc79: 33 chunks; 1.0 s; peak memory 1146 MiB.
2026-09-17T13:14:30Z INFO [106/385] 02874466-b78c-41ae-8487-06726996a7d4: 48 chunks; 1.2 s; peak memory 1146 MiB.
2026-09-17T13:14:32Z INFO [107/385] 02878f31-f679-4940-b6e1-5645c2bc461b: 112 chunks; 1.7 s; peak memory 1146 MiB.
2026-09-17T13:14:33Z INFO [108/385] 028801d5-ab2d-4a7e-9561-673e12734d37: 116 chunks; 1.5 s; peak memory 1146 MiB.
2026-09-17T13:14:34Z INFO [109/385] 0288de74-0668-4073-9ec2-b1be49cd1fe2: 48 chunks; 1.3 s; peak memory 1146 MiB.
2026-09-17T13:14:36Z INFO [110/385] 028953a2-2dd4-4a63-ae1f-0b6ef1cfc94e: 110 chunks; 1.6 s; peak memory 1146 MiB.
2026-09-17T13:14:37Z INFO [111/385] 028979ab-3a71-405c-9eb1-85486f0b8192: 48 chunks; 1.1 s; peak memory 1146 MiB.
2026-09-17T13:14:39Z INFO [112/385] 028a4a06-4529-47fb-b5d8-9d0b041e4100: 118 chunks; 1.4 s; peak memory 1146 MiB.
2026-09-17T13:14:40Z INFO [113/385] 028b6b5e-5f02-4f14-a1c1-6db68da7eef4: 48 chunks; 1.3 s; peak memory 1146 MiB.
2026-09-17T13:14:41Z INFO [114/385] 028be36d-33e7-4cc7-aabe-b35d358f2eea: 116 chunks; 1.4 s; peak memory 1146 MiB.
2026-09-17T13:14:43Z INFO [115/385] 028c061c-c72b-49f9-a0da-04dcaf9da140: 69 chunks; 1.7 s; peak memory 1146 MiB.
2026-09-17T13:14:58Z INFO [116/385] 028d135a-7ce8-42eb-af71-7247c3203f28: 22748 chunks; 14.8 s; peak memory 1146 MiB.
2026-09-17T13:14:59Z INFO [117/385] 028dfba3-b9bc-4f66-8875-e101935eecf3: 117 chunks; 1.5 s; peak memory 1146 MiB.
2026-09-17T13:15:01Z INFO [118/385] 028e5921-08e8-4dc6-8dd5-e536a8f320fb: 71 chunks; 2.1 s; peak memory 1146 MiB.
2026-09-17T13:15:02Z INFO [119/385] 028ead3b-09ae-4b5f-9697-c51638a55c9c: 48 chunks; 1.2 s; peak memory 1146 MiB.
2026-09-17T13:15:04Z INFO [120/385] 028ef11f-c970-4265-8ab7-83172c4be6aa: 48 chunks; 1.3 s; peak memory 1146 MiB.
2026-09-17T13:15:05Z INFO [121/385] 028fc389-ac38-4662-b310-efd45233854f: 46 chunks; 0.9 s; peak memory 1146 MiB.
2026-09-17T13:15:11Z INFO [122/385] 02905b08-b0de-402c-a7db-e62e49f05671: 9894 chunks; 6.5 s; peak memory 1146 MiB.
2026-09-17T13:15:12Z INFO [123/385] 0290f830-5dad-4a54-81f3-fd456cd54b17: 48 chunks; 1.1 s; peak memory 1146 MiB.
2026-09-17T13:15:15Z INFO [124/385] 0290fa92-2465-4fed-8343-9bb5c1bc9974: 240 chunks; 2.4 s; peak memory 1146 MiB.
