2026-09-20T22:03:17Z INFO Logging to /tmp/logs/update_2026-09-20T22-03-17Z.log.
2026-09-20T22:03:17Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-20T22:03:17Z INFO Processing 369 items (52128 already recorded).
2026-09-20T23:00:49Z INFO [95/369] 0b332bc1-b791-45ec-9631-f7ca05530231: 48 chunks; 1.4 s; peak memory 1208 MiB.
2026-09-20T23:00:51Z INFO [96/369] 0b33619d-020b-4094-b647-112caa8ab693: 48 chunks; 1.4 s; peak memory 1208 MiB.
2026-09-20T23:00:52Z INFO [97/369] 0b336393-ee2a-41b3-b363-fd1d6efe0c5d: 116 chunks; 1.7 s; peak memory 1208 MiB.
2026-09-20T23:00:54Z INFO [98/369] 0b338f75-e1f8-444f-bd23-b8d8518cf2ec: 112 chunks; 1.8 s; peak memory 1208 MiB.
2026-09-20T23:01:13Z INFO [99/369] 0b34330d-2c83-4f10-b294-9aabe6004bb9: 6428 chunks; 18.6 s; peak memory 1208 MiB.
2026-09-20T23:01:15Z INFO [100/369] 0b34a5e8-4786-4e5c-8fb9-fc0fa220ced2: 306 chunks; 1.9 s; peak memory 1208 MiB.
2026-09-20T23:01:15Z INFO [100/369] 0b34a5e8-4786-4e5c-8fb9-fc0fa220ced2: checkpointed 52228 records.
2026-09-20T23:01:16Z INFO [101/369] 0b34c2a6-c2f5-436e-bedd-08ff1cfff808: 48 chunks; 1.3 s; peak memory 1208 MiB.
2026-09-20T23:01:18Z INFO [102/369] 0b3547b2-1a38-4488-a736-59bd0cbe2897: 112 chunks; 2.1 s; peak memory 1208 MiB.
2026-09-20T23:01:20Z INFO [103/369] 0b359c34-a945-483e-a518-44f3e5255e7f: 117 chunks; 1.6 s; peak memory 1208 MiB.
2026-09-20T23:01:21Z INFO [104/369] 0b3608b7-b509-4f69-84e8-8e60f5184c42: 48 chunks; 1.3 s; peak memory 1208 MiB.
2026-09-20T23:01:23Z INFO [105/369] 0b36f13d-9ddc-42e3-ab7f-d5b148dfa5cd: 113 chunks; 1.8 s; peak memory 1208 MiB.
2026-09-20T23:01:32Z INFO [106/369] 0b380c64-939d-4092-8f4e-a2310ae85ab5: 2292 chunks; 8.9 s; peak memory 1208 MiB.
2026-09-20T23:01:33Z INFO [107/369] 0b39222d-8556-4f68-aa49-363144913a60: 48 chunks; 1.3 s; peak memory 1208 MiB.
2026-09-20T23:01:35Z INFO [108/369] 0b39b14c-add7-4ad6-ae87-242a0d56547a: 76 chunks; 1.9 s; peak memory 1208 MiB.
2026-09-20T23:01:37Z INFO [109/369] 0b39f342-a2a4-477c-807a-9659ef3b03ee: 64 chunks; 1.8 s; peak memory 1208 MiB.
2026-09-20T23:01:41Z INFO [110/369] 0b3a64b2-8589-4307-8493-336707bdfe21: 156 chunks; 3.8 s; peak memory 1208 MiB.
2026-09-20T23:01:42Z INFO [111/369] 0b3b86fd-3a30-44fb-9b07-6d365bbcfe20: 56 chunks; 1.1 s; peak memory 1208 MiB.
2026-09-20T23:01:57Z INFO [112/369] 0b3c9831-4a16-457a-a260-9d11ad6313b5: 22086 chunks; 15.1 s; peak memory 1208 MiB.
2026-09-20T23:01:59Z INFO [113/369] 0b3d8149-7e69-4fb2-91d3-8d2afe09b719: 117 chunks; 1.6 s; peak memory 1208 MiB.
2026-09-20T23:02:00Z INFO [114/369] 0b3da296-e1cf-40ba-aac2-7a2fecec7df6: 48 chunks; 1.2 s; peak memory 1208 MiB.
2026-09-20T23:02:02Z INFO [115/369] 0b3e9de9-773a-4fae-bcc7-8e55a1ef6582: 79 chunks; 1.8 s; peak memory 1208 MiB.
2026-09-20T23:02:05Z INFO [116/369] 0b3e9eb4-6f39-4b6e-a97a-adb499c47239: 356 chunks; 3.0 s; peak memory 1208 MiB.
2026-09-20T23:02:11Z INFO [117/369] 0b3f2c8c-2f2a-44c4-bc84-3ce52b8a84c0: 372 chunks; 6.1 s; peak memory 1208 MiB.
2026-09-20T23:02:12Z INFO [118/369] 0b3f3640-d3db-4b1d-ad75-649fac331b6f: 117 chunks; 1.6 s; peak memory 1208 MiB.
2026-09-20T23:02:14Z INFO [119/369] 0b40287e-8e0d-49ff-b7d1-a5c09ff1bdc3: 48 chunks; 1.3 s; peak memory 1208 MiB.
2026-09-20T23:02:15Z INFO [120/369] 0b42baaa-1d2c-459a-a61e-49d22b93c63e: 46 chunks; 1.0 s; peak memory 1208 MiB.
2026-09-20T23:02:16Z INFO [121/369] 0b42e9b8-abdf-4b88-bebe-0f22e89d450c: 56 chunks; 1.1 s; peak memory 1208 MiB.
2026-09-20T23:02:17Z INFO [122/369] 0b43bc0a-e7a0-406f-b17c-3803396cd68f: 116 chunks; 1.7 s; peak memory 1208 MiB.
2026-09-20T23:02:19Z INFO [123/369] 0b44c302-629e-413f-b1d3-c642e104ffd3: 69 chunks; 1.2 s; peak memory 1208 MiB.
2026-09-20T23:02:29Z INFO [124/369] 0b44fdc7-f631-4ebc-99ab-3db90dcd5d98: 18200 chunks; 10.0 s; peak memory 1208 MiB.
2026-09-20T23:02:30Z INFO [125/369] 0b450111-d416-4ce8-88ee-483ed81b43fe: 48 chunks; 1.3 s; peak memory 1208 MiB.
2026-09-20T23:02:33Z INFO [126/369] 0b45608f-d656-4be1-b28f-3fc06d2acbc4: 66 chunks; 3.3 s; peak memory 1208 MiB.
2026-09-20T23:02:35Z INFO [127/369] 0b456c21-bd29-49ab-b6c1-a4bb6805dee1: 48 chunks; 1.4 s; peak memory 1208 MiB.
2026-09-20T23:02:36Z INFO [128/369] 0b4589b4-3f47-4822-a0c3-67e56875c74a: 48 chunks; 1.4 s; peak memory 1208 MiB.
