2026-09-18T22:04:27Z INFO Logging to /tmp/logs/update_2026-09-18T22-04-27Z.log.
2026-09-18T22:04:27Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-18T22:04:27Z INFO Processing 369 items (49898 already recorded).
2026-09-18T22:18:25Z INFO [96/369] 067ab4db-be11-46c0-9988-ae251e4d92b4: 2834 chunks; 4.8 s; peak memory 1132 MiB.
2026-09-18T22:18:26Z INFO [97/369] 067b1310-aa5a-4e65-967f-6f05df4993c3: 48 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:18:27Z INFO [98/369] 067e0869-88d7-4858-8671-64bd9a4718b3: 71 chunks; 1.4 s; peak memory 1132 MiB.
2026-09-18T22:18:29Z INFO [99/369] 067e2a15-cd15-4f21-90d7-2368247d0440: 118 chunks; 1.3 s; peak memory 1132 MiB.
2026-09-18T22:18:30Z INFO [100/369] 067e99ec-def6-4ea4-a48f-4110ac40a042: 48 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:18:30Z INFO [100/369] 067e99ec-def6-4ea4-a48f-4110ac40a042: checkpointed 49998 records.
2026-09-18T22:18:31Z INFO [101/369] 067ea211-38bd-4f0a-87d4-107267bd9b3b: 290 chunks; 0.9 s; peak memory 1132 MiB.
2026-09-18T22:18:31Z INFO [102/369] 067ea819-e5c4-418b-b391-ec5d803bbbc6: 118 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:18:35Z INFO [103/369] 067f8a20-3286-4b8a-aab5-97caa767bf14: 964 chunks; 3.4 s; peak memory 1132 MiB.
2026-09-18T22:18:35Z INFO [104/369] 06800a34-27c5-4b64-bd5b-af269ad51f88: 48 chunks; 0.6 s; peak memory 1132 MiB.
2026-09-18T22:18:36Z INFO [105/369] 0680a097-c76e-4382-8258-357f58305cad: 116 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:18:37Z INFO [106/369] 0681337e-3295-4bf2-bca6-4d88b3174b1c: 112 chunks; 1.0 s; peak memory 1132 MiB.
2026-09-18T22:18:38Z INFO [107/369] 06822e81-78a2-489b-8385-98ed313a0bc1: 52 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:18:39Z INFO [108/369] 06823506-5894-477c-b550-f647813328bb: 117 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:18:39Z INFO [109/369] 06839373-286c-4716-b9cd-ed9dbff95b70: 48 chunks; 0.6 s; peak memory 1132 MiB.
2026-09-18T22:18:43Z INFO [110/369] 06840152-7a68-4e42-a305-47635ddf2804: 240 chunks; 3.6 s; peak memory 1132 MiB.
2026-09-18T22:20:04Z INFO [111/369] 068544af-4a80-4c85-aacc-7f424bdddebe: 37893 chunks; 81.4 s; peak memory 1132 MiB.
2026-09-18T22:20:05Z INFO [112/369] 0685cdec-9137-4d51-8a2c-7a03c41c3602: 112 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:20:06Z INFO [113/369] 0685f8af-b619-44f4-97f9-730de0f0a0cc: 50 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:20:07Z INFO [114/369] 06865f7a-9300-491f-b453-0579e039226d: 112 chunks; 1.0 s; peak memory 1132 MiB.
2026-09-18T22:20:07Z INFO [115/369] 0686d53a-7143-445f-b9b3-2db75fb0174c: 48 chunks; 0.6 s; peak memory 1132 MiB.
2026-09-18T22:20:08Z INFO [116/369] 0689954e-c04d-4da7-9c55-ffef5688914f: 46 chunks; 0.6 s; peak memory 1132 MiB.
2026-09-18T22:20:09Z INFO [117/369] 0689bdf1-3d01-4a85-81bb-5e7893a8c61f: 52 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:20:09Z INFO [118/369] 068b1166-fad3-48d9-aeb9-f0c357b7e071: 118 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:20:10Z INFO [119/369] 068b739d-8203-494f-ac0a-62bac0e9c629: 46 chunks; 0.6 s; peak memory 1132 MiB.
2026-09-18T22:20:11Z INFO [120/369] 068b9f1c-70d1-4bfe-a128-d3eb2266b2f5: 112 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:20:15Z INFO [121/369] 068c3275-84c4-4fbe-b2ae-3f3b783d6ae4: 4151 chunks; 4.3 s; peak memory 1132 MiB.
2026-09-18T22:20:16Z INFO [122/369] 068d32d5-549d-4bd9-a382-8614eb35bb41: 50 chunks; 0.6 s; peak memory 1132 MiB.
2026-09-18T22:20:19Z INFO [123/369] 068dc429-acd4-4c92-8c2b-c27fe3189b83: 4196 chunks; 3.5 s; peak memory 1132 MiB.
2026-09-18T22:20:20Z INFO [124/369] 068e4a07-d6fb-42c2-a25a-06d488c926a5: 71 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:20:26Z INFO [125/369] 068e68ea-e5a3-4e6f-8b0c-c4f16a87bc5c: 19725 chunks; 6.3 s; peak memory 1132 MiB.
2026-09-18T22:20:28Z INFO [126/369] 068f7c23-e2cb-4a7e-92ea-2f9664da5f66: 157 chunks; 1.9 s; peak memory 1132 MiB.
2026-09-18T22:20:32Z INFO [127/369] 06901957-e0d6-4878-9777-c6548606507a: 282 chunks; 3.8 s; peak memory 1132 MiB.
2026-09-18T22:20:33Z INFO [128/369] 069032c7-9400-4a34-bed7-00b5b703e412: 48 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:20:34Z INFO [129/369] 06903dde-6011-402f-91e0-3c09f75d822e: 112 chunks; 0.9 s; peak memory 1132 MiB.
2026-09-18T22:20:34Z INFO [130/369] 06907ff5-f13f-47d8-983c-1b4ad19e7d20: 48 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:20:36Z INFO [131/369] 0690d756-6b17-4950-8aec-5ad3f576a8f5: 66 chunks; 1.1 s; peak memory 1132 MiB.
2026-09-18T22:20:36Z INFO [132/369] 06917472-079d-4450-aff0-3be17d684a7c: 42 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:20:37Z INFO [133/369] 06934eb7-ba6e-4cd3-9ed8-c58d4f839b0d: 112 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:20:38Z INFO [134/369] 0693fb77-1a5e-4d76-9007-c6bdc597d8cd: 117 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:20:39Z INFO [135/369] 06945228-6d8d-4dd2-a4fb-2f0b4909a370: 48 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:20:40Z INFO [136/369] 0694ea10-f91f-4812-8dfb-b07ac270fc98: 66 chunks; 1.0 s; peak memory 1132 MiB.
2026-09-18T22:20:41Z INFO [137/369] 06951bd4-070e-410a-988f-4be2c7799d7a: 71 chunks; 1.2 s; peak memory 1132 MiB.
2026-09-18T22:20:43Z INFO [138/369] 0695bf89-7f3e-4641-aec3-4890e462aaf1: 156 chunks; 2.1 s; peak memory 1132 MiB.
2026-09-18T22:20:44Z INFO [139/369] 0696455a-cfe2-4312-a3d6-b028ff5ea3eb: 62 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:20:50Z INFO [140/369] 069661eb-7824-4010-bbe1-cb3bf218ac4a: 18926 chunks; 6.6 s; peak memory 1132 MiB.
2026-09-18T22:20:51Z INFO [141/369] 0696c590-0c01-44f7-9c9c-801eace5d87d: 48 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:20:52Z INFO [142/369] 06974da7-9166-4f1f-bfd0-50f5705ab1fd: 94 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:20:52Z INFO [143/369] 06985895-4eb7-4004-8fcd-cafb41ce8761: 112 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:20:54Z INFO [144/369] 069874f6-a203-45c4-a904-d8ac33082164: 71 chunks; 1.2 s; peak memory 1132 MiB.
2026-09-18T22:20:55Z INFO [145/369] 06995c9a-893b-4235-b386-65bf579eafab: 115 chunks; 1.5 s; peak memory 1132 MiB.
2026-09-18T22:20:56Z INFO [146/369] 069a0908-11ea-43fd-89c0-7161bb7a52a4: 112 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:22:08Z INFO [147/369] 069a3250-8ccd-4b02-85a3-da1e8284e601: 45621 chunks; 72.4 s; peak memory 1132 MiB.
2026-09-18T22:22:15Z INFO [148/369] 069a543e-c7e9-4015-987c-09fa1bbe122b: 10840 chunks; 6.6 s; peak memory 1132 MiB.
2026-09-18T22:22:16Z INFO [149/369] 069abc52-978a-4528-829b-957d9e6db292: 48 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:22:17Z INFO [150/369] 069b45d7-1d95-4679-b810-ad5ecef24d79: 112 chunks; 0.9 s; peak memory 1132 MiB.
2026-09-18T22:22:17Z INFO [150/369] 069b45d7-1d95-4679-b810-ad5ecef24d79: checkpointed 50048 records.
2026-09-18T22:22:17Z INFO [151/369] 069b8683-a0a8-41c1-a7ed-7f55d16264a4: 35 chunks; 0.5 s; peak memory 1132 MiB.
2026-09-18T22:22:24Z INFO [152/369] 069bab1e-cbca-440c-87ee-d561e180749f: 16349 chunks; 6.8 s; peak memory 1132 MiB.
2026-09-18T22:22:24Z INFO [153/369] 069be5ca-4bce-4177-830b-a7e9b9395e78: 52 chunks; 0.4 s; peak memory 1132 MiB.
