2026-09-17T17:52:14Z INFO Logging to /tmp/logs/update_2026-09-17T17-52-14Z.log.
2026-09-17T17:52:14Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-17T17:52:14Z INFO Processing 371 items (48413 already recorded).
2026-09-17T17:57:53Z INFO [90/371] 0348cc8f-2c8e-4bee-910d-f297f822aab0: 117 chunks; 0.7 s; peak memory 326 MiB.
2026-09-17T17:57:58Z INFO [91/371] 034990bf-01fe-42f3-b6f1-a9374dcd0066: 16181 chunks; 5.0 s; peak memory 326 MiB.
2026-09-17T17:57:59Z INFO [92/371] 034a4374-232d-401c-9288-31e5ef206670: 48 chunks; 0.7 s; peak memory 326 MiB.
2026-09-17T17:58:00Z INFO [93/371] 034ad8f1-bf60-41dd-bacd-c9ee2d7c71d0: 112 chunks; 0.8 s; peak memory 326 MiB.
2026-09-17T17:58:00Z INFO [94/371] 034b24e2-b699-442d-9625-35dbee1395ef: 48 chunks; 0.8 s; peak memory 326 MiB.
2026-09-17T17:58:01Z INFO [95/371] 034b904a-2535-4ebb-b627-0d294caa08fe: 48 chunks; 0.6 s; peak memory 326 MiB.
2026-09-17T17:58:02Z INFO [96/371] 034d5b77-441e-43a2-a04d-6bedd64b3fc3: 121 chunks; 0.7 s; peak memory 326 MiB.
2026-09-17T17:58:02Z INFO [97/371] 034e23ca-affb-43b4-aebe-02162fde2e1f: 52 chunks; 0.7 s; peak memory 326 MiB.
2026-09-17T17:58:03Z INFO [98/371] 034e72c9-7891-4cec-aa2d-7579701e253f: 48 chunks; 0.8 s; peak memory 326 MiB.
2026-09-17T17:58:09Z INFO [99/371] 034eb273-1e8a-4410-949e-a6871b2c0e83: 14876 chunks; 6.1 s; peak memory 326 MiB.
2026-09-17T17:58:10Z INFO [100/371] 034ed842-a008-4d73-a069-caf9d4a462f9: 48 chunks; 0.7 s; peak memory 326 MiB.
2026-09-17T17:58:10Z INFO [100/371] 034ed842-a008-4d73-a069-caf9d4a462f9: checkpointed 48513 records.
2026-09-17T17:58:11Z INFO [101/371] 034f70b8-dde7-400e-bf1c-b38c8ea64315: 48 chunks; 0.6 s; peak memory 326 MiB.
2026-09-17T17:58:11Z INFO [102/371] 034f976b-103c-455a-adfd-b202c3142320: 41 chunks; 0.5 s; peak memory 326 MiB.
2026-09-17T17:58:12Z INFO [103/371] 035055d4-b113-430a-bd48-87ab6d55cef5: 69 chunks; 0.6 s; peak memory 326 MiB.
2026-09-17T17:58:13Z INFO [104/371] 0350bdf8-0463-49a4-9e14-223b6b99aa54: 66 chunks; 0.9 s; peak memory 326 MiB.
2026-09-17T17:58:13Z INFO [105/371] 0350cb7a-ae83-4a02-8bba-48f1d394070d: 48 chunks; 0.7 s; peak memory 326 MiB.
2026-09-17T17:58:14Z INFO [106/371] 03513beb-e6d7-4426-ad0b-8eb6c2d9a3e9: 52 chunks; 0.7 s; peak memory 326 MiB.
2026-09-17T17:58:15Z INFO [107/371] 03522f7c-36a3-47f8-80c3-05315333f89a: 48 chunks; 0.6 s; peak memory 326 MiB.
2026-09-17T17:58:15Z INFO [108/371] 03525e41-fd14-4324-bb75-1151a39a89d0: 78 chunks; 0.7 s; peak memory 326 MiB.
2026-09-17T17:58:23Z INFO [109/371] 0353b161-e5c3-4d09-a8f9-2002c88a197b: 19523 chunks; 7.6 s; peak memory 326 MiB.
2026-09-17T17:58:28Z INFO [110/371] 035407c0-01e5-4282-9881-2a82cb6e0ece: 3556 chunks; 4.7 s; peak memory 326 MiB.
2026-09-17T17:58:28Z INFO [111/371] 03541dbd-fdb1-4dc0-b4d5-3c93f12ca306: 116 chunks; 0.8 s; peak memory 326 MiB.
2026-09-17T17:58:29Z INFO [112/371] 03553748-7730-479c-99f0-944d400569a3: 48 chunks; 0.9 s; peak memory 326 MiB.
2026-09-17T17:58:30Z INFO [113/371] 0356024c-a95a-4d6c-9553-cef9c890bb6c: 46 chunks; 0.6 s; peak memory 326 MiB.
2026-09-17T17:58:30Z INFO [114/371] 0356e792-4015-459e-85b5-84883cd137c7: 48 chunks; 0.6 s; peak memory 326 MiB.
2026-09-17T17:58:31Z INFO [115/371] 0357d8f4-06f6-47a9-a340-cc12d5160c31: 48 chunks; 0.7 s; peak memory 326 MiB.
